"Protein_id","short.name","mRNA_ID","b.name","start.point","stop.point","length","operon.name"
"YP_003044140.1","kdsB","ECB_00922","b0918",970075,970821,746,"no_op"
"YP_003044141.1","ycbJ","ECB_00923","b0919",970975,971868,893,"no_op"
"YP_003044142.1","ycbC","ECB_00924","b0920",0,0,0,"no_op"
"YP_003044143.1","smtA","ECB_00925","b0921",972760,973545,785,"no_op"
"YP_003044144.1","mukF","ECB_00926","b0922",973542,974864,1322,"cmoM-mukFEB"
"YP_003044145.1","mukE","ECB_00927","b0923",974872,975549,677,"cmoM-mukFEB"
"YP_003044146.1","mukB","ECB_00928","b0924",975549,980009,4460,"cmoM-mukFEB"
"YP_003044147.1","ycbB","ECB_00929","b0925",980270,982117,1847,"no_op"
"YP_003044148.1","ycbK","ECB_00930","b0926",982298,982846,548,"ldtD"
"YP_003044149.1","ycbL","ECB_00931","b0927",982873,983520,647,"no_op"
"YP_003044150.1","aspC","ECB_00932","b0928",983742,984932,1190,"no_op"
"YP_003044151.1","ompF","ECB_00933","b0929",985117,986205,1088,"no_op"
"YP_003044153.1","pncB","ECB_00935","b0931",988377,989579,1202,"no_op"
"YP_003044154.1","pepN","ECB_00936","b0932",989845,992457,2612,"no_op"
"YP_003044155.1","ssuB","ECB_00937","b0933",992500,993267,767,"no_op"
"YP_003044156.1","ssuC","ECB_00938","b0934",993264,994055,791,"no_op"
"YP_003044157.1","ssuD","ECB_00939","b0935",994066,995211,1145,"ssuEADCB"
"YP_003044158.1","ssuA","ECB_00940","b0936",995208,996167,959,"ssuEADCB"
"YP_003044159.1","ssuE","ECB_00941","b0937",996160,996735,575,"ssuEADCB"
"YP_003044160.1","ycbQ","ECB_00942","b0938",0,0,0,"no_op"
"YP_003044161.1","ycbR","ECB_00943","b0939",0,0,0,"no_op"
"YP_003044162.1","ycbS","ECB_00944","b0940",0,0,0,"no_op"
"YP_003044163.1","ycbT","ECB_00945","b0941",0,0,0,"no_op"
"YP_003044164.1","ycbU","ECB_00946","b0942",100211,100265,54,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044165.1","ycbV","ECB_00947","b0943",100266,100317,51,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044166.1","ycbF","ECB_00948","b0944",100317,100388,71,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044167.1","pyrD","ECB_00949","b0945",100399,100500,101,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044168.1","ycbW","ECB_00950","b0946",0,0,0,"no_op"
"YP_003044169.1","ycbX","ECB_00951","b0947",100571,100682,111,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044170.1","rlmL","ECB_00952","b0948",100706,100917,211,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044171.1","uup","ECB_00953","b0949",100918,101109,191,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044172.1","pqiA","ECB_00954","b0950",101122,101247,125,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044173.1","pqiB","ECB_00955","b0951",101248,101412,164,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044174.1","ymbA","ECB_00956","b0952",101413,101468,55,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044175.1","rmf","ECB_00957","b0953",101493,101510,17,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044176.1","fabA","ECB_00958","b0954",101517,101569,52,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044177.1","ycbZ","ECB_00959","b0955",101576,101752,176,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044178.1","ycbG","ECB_00960","b0956",0,0,0,"no_op"
"YP_003044179.1","ompA","ECB_00961","b0957",101823,101927,104,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044180.1","sulA","ECB_00962","b0958",101963,102014,51,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044181.1","yccR","ECB_00963","b0959",0,0,0,"no_op"
"YP_003044182.1","yccS","ECB_00964","b0960",102095,102310,215,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044183.1","yccF","ECB_00965","b0961",102312,102357,45,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044184.1","helD","ECB_00966","b0962",102369,102574,205,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044185.1","mgsA","ECB_00967","b0963",102578,102623,45,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044186.1","yccT","ECB_00968","b0964",102633,102699,66,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044187.1","yccU","ECB_00969","b0965",102716,102758,42,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044188.1","yccV","ECB_00970","b0966",0,0,0,"no_op"
"YP_003044189.1","yccW","ECB_00971","b0967",0,0,0,"no_op"
"YP_003044190.1","yccX","ECB_00972","b0968",102928,102956,28,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044191.1","yccK","ECB_00973","b0969",0,0,0,"no_op"
"YP_003044192.1","yccA","ECB_00974","b0970",102998,103064,66,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044193.1","hyaA","ECB_00975","b0972",103136,103248,112,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044194.1","hyaB","ECB_00976","b0973",103247,103427,180,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044195.1","hyaC","ECB_00977","b0974",103428,103499,71,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044196.1","hyaD","ECB_00978","b0975",103499,103558,59,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044197.1","hyaE","ECB_00979","b0976",103557,103597,40,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044198.1","hyaF","ECB_00980","b0977",103597,103682,85,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044199.1","appC","ECB_00981","b0978",103696,103850,154,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044200.1","appB","ECB_00982","b0979",103851,103965,114,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044201.1","appA","ECB_00983","b0980",103984,104113,129,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044202.1","yccC","ECB_00984","b0981",0,0,0,"no_op"
"YP_003044203.1","etp","ECB_00985","b0982",104345,104389,44,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044204.1","yccZ","ECB_00986","b0983",0,0,0,"no_op"
"YP_003044205.1","ymcA","ECB_00987","b0984",0,0,0,"no_op"
"YP_003044206.1","ymcB","ECB_00988","b0985",0,0,0,"no_op"
"YP_003044207.1","ymcC","ECB_00989","b0986",0,0,0,"no_op"
"YP_003044208.1","ymcD","ECB_00990","b0987",0,0,0,"no_op"
"YP_003044209.1","cspH","ECB_00991","b0989",105018,105039,21,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044210.1","cspG","ECB_00992","b0990",105068,105089,21,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044211.1","sfa","ECB_00993","b0991",0,0,0,"no_op"
"YP_003044213.1","yccM","ECB_00995","b0992",105151,105258,107,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044214.1","torS","ECB_00996","b0993",105265,105540,275,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044215.1","torT","ECB_00997","b0994",105548,105651,103,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044216.1","torR","ECB_00998","b0995",105648,105717,69,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044217.1","torC","ECB_00999","b0996",105730,105847,117,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044218.1","torA","ECB_01000","b0997",105847,106102,255,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044219.1","torD","ECB_01001","b0998",106102,106162,60,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044220.1","yccD","ECB_01002","b0999",0,0,0,"no_op"
"YP_003044221.1","cbpA","ECB_01003","b1000",106207,106299,92,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044222.1","yccE","ECB_01004","b1001",106325,106451,126,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044223.1","agp","ECB_01005","b1002",106480,106604,124,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044224.1","yccJ","ECB_01006","b1003",106608,106631,23,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044225.1","wrbA","ECB_01007","b1004",106633,106693,60,"mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC"
"YP_003044227.1","ycdG","ECB_01009","b1006",0,0,0,"no_op"
"YP_003044228.1","ycdH","ECB_01010","b1007",0,0,0,"no_op"
"YP_003044229.1","ycdI","ECB_01011","b1008",0,0,0,"no_op"
"YP_003044230.1","ycdJ","ECB_01012","b1009",0,0,0,"no_op"
"YP_003044231.1","ycdK","ECB_01013","b1010",0,0,0,"no_op"
"YP_003044232.1","ycdL","ECB_01014","b1011",0,0,0,"no_op"
"YP_003044233.1","ycdM","ECB_01015","b1012",0,0,0,"no_op"
"YP_003044234.1","ycdC","ECB_01016","b1013",0,0,0,"no_op"
"YP_003044235.1","putA","ECB_01017","b1014",107414,107810,396,"no_op"
"YP_003044236.1","putP","ECB_01018","b1015",107852,108003,151,"secMA-mutT"
"YP_003044238.1","ycdO","ECB_01020","b1018",0,0,0,"no_op"
"YP_003044239.1","ycdB","ECB_01021","b1019",0,0,0,"no_op"
"YP_003044240.1","phoH","ECB_01022","b1020",108421,108527,106,"secMA-mutT"
"YP_003044241.1","pgaD","ECB_01023","b1021",108532,108574,42,"secMA-mutT"
"YP_003044242.1","ycdQ","ECB_01024","b1022",0,0,0,"no_op"
"YP_003044243.1","pgaB","ECB_01025","b1023",108706,108908,202,"secMA-mutT"
"YP_003044244.1","pgaA","ECB_01026","b1024",108908,109151,243,"secMA-mutT"
"YP_003044245.1","ycdT","ECB_01027","b1025",109209,109345,136,"secMA-mutT"
"YP_003044248.1","ycdW","ECB_01030","b1033",0,0,0,"no_op"
"YP_003044249.1","ycdX","ECB_01031","b1034",109810,109883,73,"secMA-mutT"
"YP_003044250.1","ycdY","ECB_01032","b1035",109886,109941,55,"secMA-mutT"
"YP_003044251.1","ycdZ","ECB_01033","b1036",109951,110001,50,"secMA-mutT"
"YP_003044252.1","csgG","ECB_01034","b1037",110007,110090,83,"secMA-mutT"
"YP_003044253.1","csgF","ECB_01035","b1038",110093,110135,42,"secMA-mutT"
"YP_003044254.1","csgE","ECB_01036","b1039",110137,110176,39,"secMA-mutT"
"YP_003044255.1","csgD","ECB_01037","b1040",110176,110241,65,"secMA-mutT"
"YP_003044256.1","csgB","ECB_01038","b1041",110317,110362,45,"secMA-mutT"
"YP_003044257.1","csgA","ECB_01039","b1042",110367,110412,45,"secMA-mutT"
"YP_003044258.1","csgC","ECB_01040","b1043",110418,110451,33,"secMA-mutT"
"YP_003044259.1","ymdA","ECB_01041","b1044",110463,110494,31,"secMA-mutT"
"YP_003044260.1","ymdB","ECB_01042","b1045",110504,110557,53,"secMA-mutT"
"YP_003044261.1","ymdC","ECB_01043","b1046",0,0,0,"no_op"
"YP_003044262.1","mdoC","ECB_01044","b1047",0,0,0,"no_op"
"YP_003044263.1","mdoG","ECB_01045","b1048",0,0,0,"no_op"
"YP_003044264.1","mdoH","ECB_01046","b1049",0,0,0,"no_op"
"YP_003044265.1","yceK","ECB_01047","b1050",111280,111302,22,"secMA-mutT"
"YP_003044266.1","msyB","ECB_01048","b1051",111303,111340,37,"secMA-mutT"
"YP_003044267.1","yceE","ECB_01049","b1053",0,0,0,"no_op"
"YP_003044268.1","htrB","ECB_01050","b1054",0,0,0,"no_op"
"YP_003044269.1","yceA","ECB_01051","b1055",111603,111708,105,"no_op"
"YP_003044270.1","yceI","ECB_01052","b1056",111712,111769,57,"coaE-zapD-yacG"
"YP_003044271.1","yceJ","ECB_01053","b1057",111770,111826,56,"coaE-zapD-yacG"
"YP_003044272.1","yceO","ECB_01054","b1058",111853,111867,14,"coaE-zapD-yacG"
"YP_003044273.1","solA","ECB_01055","b1059",111869,111980,111,"coaE-zapD-yacG"
"YP_003044274.1","bssS","ECB_01056","b1060",111992,112017,25,"coaE-zapD-yacG"
"YP_003044275.1","dinI","ECB_01057","b1061",112046,112071,25,"coaE-zapD-yacG"
"YP_003044276.1","pyrC","ECB_01058","b1062",112078,112183,105,"coaE-zapD-yacG"
"YP_003044277.1","yceB","ECB_01059","b1063",112193,112249,56,"coaE-zapD-yacG"
"YP_003044278.1","grxB","ECB_01060","b1064",112263,112327,64,"coaE-zapD-yacG"
"YP_003044279.1","yceL","ECB_01061","b1065",0,0,0,"no_op"
"YP_003044280.1","rimJ","ECB_01062","b1066",112478,112536,58,"coaE-zapD-yacG"
"YP_003044281.1","yceH","ECB_01063","b1067",112538,112602,64,"coaE-zapD-yacG"
"YP_003044282.1","mviM","ECB_01064","b1068",0,0,0,"no_op"
"YP_003044283.1","mviN","ECB_01065","b1069",0,0,0,"no_op"
"YP_003044284.1","flgN","ECB_01066","b1070",112863,112905,42,"coaE-zapD-yacG"
"YP_003044285.1","flgM","ECB_01067","b1071",112905,112935,30,"coaE-zapD-yacG"
"YP_003044286.1","flgA","ECB_01068","b1072",112942,113008,66,"coaE-zapD-yacG"
"YP_003044287.1","flgB","ECB_01069","b1073",113024,113065,41,"coaE-zapD-yacG"
"YP_003044288.1","flgC","ECB_01070","b1074",113066,113106,40,"coaE-zapD-yacG"
"YP_003044289.1","flgD","ECB_01071","b1075",113107,113177,70,"coaE-zapD-yacG"
"YP_003044290.1","flgE","ECB_01072","b1076",113179,113300,121,"no_op"
"YP_003044291.1","flgF","ECB_01073","b1077",113302,113378,76,"no_op"
"YP_003044292.1","flgG","ECB_01074","b1078",113395,113473,78,"no_op"
"YP_003044293.1","flgH","ECB_01075","b1079",113478,113548,70,"guaC"
"YP_003044294.1","flgI","ECB_01076","b1080",113549,113659,110,"guaC"
"YP_003044295.1","flgJ","ECB_01077","b1081",113659,113753,94,"guaC"
"YP_003044296.1","flgK","ECB_01078","b1082",113760,113924,164,"guaC"
"YP_003044297.1","flgL","ECB_01079","b1083",113925,114020,95,"guaC"
"YP_003044298.1","rne","ECB_01080","b1084",114040,114359,319,"guaC"
"YP_003044300.1","rluC","ECB_01082","b1086",114416,114512,96,"no_op"
"YP_003044301.1","yceF","ECB_01083","b1087",114523,114581,58,"ppdD-hofBC"
"YP_003044302.1","yceD","ECB_01084","b1088",114601,114653,52,"ppdD-hofBC"
"YP_003044303.1","rpmF","ECB_01085","b1089",114659,114676,17,"ppdD-hofBC"
"YP_003044304.1","plsX","ECB_01086","b1090",114684,114791,107,"ppdD-hofBC"
"YP_003044305.1","fabH","ECB_01087","b1091",114798,114893,95,"ppdD-hofBC"
"YP_003044306.1","fabD","ECB_01088","b1092",114895,114988,93,"ppdD-hofBC"
"YP_003044307.1","fabG","ECB_01089","b1093",114989,115062,73,"ppdD-hofBC"
"YP_003044308.1","acpP","ECB_01090","b1094",115083,115107,24,"ppdD-hofBC"
"YP_003044309.1","fabF","ECB_01091","b1095",115116,115240,124,"ppdD-hofBC"
"YP_003044310.1","pabC","ECB_01092","b1096",115252,115333,81,"ppdD-hofBC"
"YP_003044311.1","yceG","ECB_01093","b1097",115333,115435,102,"ppdD-hofBC"
"YP_003044312.1","tmk","ECB_01094","b1098",115434,115498,64,"ppdD-hofBC"
"YP_003044313.1","holB","ECB_01095","b1099",115498,115598,100,"ppdD-hofBC"
"YP_003044314.1","ycfH","ECB_01096","b1100",115600,115679,79,"ppdD-hofBC"
"YP_003044315.1","ptsG","ECB_01097","b1101",115709,115852,143,"ppdD-hofBC"
"YP_003044316.1","fhuE","ECB_01098","b1102",115858,116077,219,"ppdD-hofBC"
"YP_003044317.1","ycfF","ECB_01099","b1103",0,0,0,"no_op"
"YP_003044318.1","ycfL","ECB_01100","b1104",116147,116184,37,"ppdD-hofBC"
"YP_003044319.1","ycfM","ECB_01101","b1105",0,0,0,"no_op"
"YP_003044320.1","thiK","ECB_01102","b1106",116248,116330,82,"ppdD-hofBC"
"YP_003044321.1","nagZ","ECB_01103","b1107",116331,116434,103,"ppdD-hofBC"
"YP_003044322.1","ycfP","ECB_01104","b1108",116436,116490,54,"ppdD-hofBC"
"YP_003044323.1","ndh","ECB_01105","b1109",116530,116661,131,"ppdD-hofBC"
"YP_003044324.1","ycfJ","ECB_01106","b1110",116682,116736,54,"ppdD-hofBC"
"YP_003044325.1","ycfQ","ECB_01107","b1111",0,0,0,"no_op"
"YP_003044326.1","ycfR","ECB_01108","b1112",0,0,0,"no_op"
"YP_003044327.1","ycfS","ECB_01109","b1113",116863,116959,96,"ppdD-hofBC"
"YP_003044328.1","mfd","ECB_01110","b1114",116974,117318,344,"ppdD-hofBC"
"YP_003044329.1","ycfT","ECB_01111","b1115",117331,117438,107,"ppdD-hofBC"
"YP_003044330.1","ycfU","ECB_01112","b1116",0,0,0,"no_op"
"YP_003044331.1","lolD","ECB_01113","b1117",117584,117654,70,"no_op"
"YP_003044332.1","ycfW","ECB_01114","b1118",0,0,0,"no_op"
"YP_003044335.1","cobB","ECB_01118","b1120",117874,117958,84,"nadC"
"YP_003044336.1","ycfZ","ECB_01119","b1121",117970,118049,79,"nadC"
"YP_003044337.1","ymfA","ECB_01120","b1122",118048,118094,46,"nadC"
"YP_003044338.1","potD","ECB_01121","b1123",118100,118205,105,"nadC"
"YP_003044339.1","potC","ECB_01122","b1124",118204,118284,80,"nadC"
"YP_003044340.1","potB","ECB_01123","b1125",118284,118366,82,"nadC"
"YP_003044341.1","potA","ECB_01124","b1126",118368,118481,113,"nadC"
"YP_003044342.1","pepT","ECB_01125","b1127",118506,118629,123,"nadC"
"YP_003044343.1","ycfD","ECB_01126","b1128",118634,118746,112,"no_op"
"YP_003044344.1","phoQ","ECB_01127","b1129",118753,118899,146,"ampDE"
"YP_003044345.1","phoP","ECB_01128","b1130",118899,118967,68,"ampDE"
"YP_003044346.1","purB","ECB_01129","b1131",118983,119120,137,"ampDE"
"YP_003044347.1","ycfC","ECB_01130","b1132",0,0,0,"no_op"
"YP_003044348.1","mnmA","ECB_01131","b1133",119189,119299,110,"ampDE"
"YP_003044349.1","ymfB","ECB_01132","b1134",0,0,0,"no_op"
"YP_003044350.1","ymfC","ECB_01133","b1135",0,0,0,"no_op"
"YP_003044351.1","icdA","ECB_01134","b1136",0,0,0,"no_op"
"YP_003044065.1","tfaE","ECB_00847","b1156",120774,120834,60,"aroP"
"YP_003044352.1","ycgW","ECB_01135","b1160",0,0,0,"no_op"
"YP_003044353.1","ycgX","ECB_01136","b1161",121192,121233,41,"aroP"
"YP_003044354.1","ycgE","ECB_01137","b1162",0,0,0,"no_op"
"YP_003044355.1","ycgF","ECB_01138","b1163",0,0,0,"no_op"
"YP_003044356.1","ycgZ","ECB_01139","b1164",121501,121524,23,"aroP"
"YP_003044357.1","ymgA","ECB_01140","b1165",121529,121556,27,"no_op"
"YP_003044358.1","ymgB","ECB_01141","b1166",0,0,0,"no_op"
"YP_003044359.1","ymgC","ECB_01142","b1167",121597,121621,24,"no_op"
"YP_003044360.1","ycgG","ECB_01143","b1168",121655,121807,152,"no_op"
"YP_003044362.1","ymgD","ECB_01146","b1171",122152,122185,33,"pdhR-aceEF-lpd"
"YP_003044365.1","minE","ECB_01149","b1174",122350,122376,26,"pdhR-aceEF-lpd"
"YP_003044366.1","minD","ECB_01150","b1175",122377,122458,81,"pdhR-aceEF-lpd"
"YP_003044367.1","minC","ECB_01151","b1176",122460,122530,70,"pdhR-aceEF-lpd"
"YP_003044368.1","ycgJ","ECB_01152","b1177",122582,122619,37,"pdhR-aceEF-lpd"
"YP_003044369.1","ycgK","ECB_01153","b1178",0,0,0,"no_op"
"YP_003044370.1","ycgL","ECB_01154","b1179",122690,122723,33,"pdhR-aceEF-lpd"
"YP_003044371.1","ycgM","ECB_01155","b1180",122730,122796,66,"pdhR-aceEF-lpd"
"YP_003044372.1","ycgN","ECB_01156","b1181",122805,122849,44,"pdhR-aceEF-lpd"
"YP_003044373.1","umuD","ECB_01158","b1183",122999,123040,41,"pdhR-aceEF-lpd"
"YP_003044374.1","umuC","ECB_01159","b1184",123040,123167,127,"pdhR-aceEF-lpd"
"YP_003044375.1","dsbB","ECB_01160","b1185",123172,123225,53,"pdhR-aceEF-lpd"
"YP_003044376.1","nhaB","ECB_01161","b1186",123239,123394,155,"pdhR-aceEF-lpd"
"YP_003044377.1","fadR","ECB_01162","b1187",123416,123488,72,"pdhR-aceEF-lpd"
"YP_003044378.1","ycgB","ECB_01163","b1188",123493,123646,153,"pdhR-aceEF-lpd"
"YP_003044379.1","dadA","ECB_01164","b1189",123679,123809,130,"pdhR-aceEF-lpd"
"YP_003044380.1","dadX","ECB_01165","b1190",123810,123917,107,"pdhR-aceEF-lpd"
"YP_003044381.1","ycgO","ECB_01166","b1191",0,0,0,"no_op"
"YP_003044382.1","ldcA","ECB_01167","b1192",124138,124230,92,"pdhR-aceEF-lpd"
"YP_003044383.1","mltE","ECB_01168","b1193",0,0,0,"no_op"
"YP_003044384.1","ycgR","ECB_01169","b1194",124301,124375,74,"pdhR-aceEF-lpd"
"YP_003044385.1","ymgE","ECB_01170","b1195",124395,124420,25,"pdhR-aceEF-lpd"
"YP_003044386.1","ycgY","ECB_01171","b1196",124438,124482,44,"pdhR-aceEF-lpd"
"YP_003044387.1","treA","ECB_01172","b1197",124490,124659,169,"pdhR-aceEF-lpd"
"YP_003044388.1","dhaM","ECB_01173","b1198",124691,124833,142,"pdhR-aceEF-lpd"
"YP_003044389.1","dhaL","ECB_01174","b1199",124834,124898,64,"pdhR-aceEF-lpd"
"YP_003044390.1","dhaK","ECB_01175","b1200",124899,125006,107,"pdhR-aceEF-lpd"
"YP_003044391.1","dhaR","ECB_01176","b1201",125028,125220,192,"pdhR-aceEF-lpd"
"YP_003044392.1","ycgV","ECB_01177","b1202",125230,125517,287,"pdhR-aceEF-lpd"
"YP_003044393.1","ychF","ECB_01178","b1203",125594,125703,109,"pdhR-aceEF-lpd"
"YP_003044394.1","pth","ECB_01179","b1204",125715,125773,58,"pdhR-aceEF-lpd"
"YP_003044395.1","ychH","ECB_01180","b1205",125801,125829,28,"pdhR-aceEF-lpd"
"YP_003044396.1","ychM","ECB_01181","b1206",0,0,0,"no_op"
"YP_003044397.1","prsA","ECB_01182","b1207",0,0,0,"no_op"
"YP_003044398.1","ipk","ECB_01183","b1208",0,0,0,"no_op"
"YP_003044399.1","lolB","ECB_01184","b1209",126210,126272,62,"pdhR-aceEF-lpd"
"YP_003044400.1","hemA","ECB_01185","b1210",126293,126419,126,"pdhR-aceEF-lpd"
"YP_003044401.1","prfA","ECB_01186","b1211",126423,126531,108,"pdhR-aceEF-lpd"
"YP_003044402.1","hemK","ECB_01187","b1212",0,0,0,"no_op"
"YP_003044403.1","ychQ","ECB_01188","b1213",126614,126653,39,"pdhR-aceEF-lpd"
"YP_003044404.1","ychA","ECB_01189","b1214",126654,126735,81,"pdhR-aceEF-lpd"
"YP_003044405.1","kdsA","ECB_01190","b1215",126738,126824,86,"pdhR-aceEF-lpd"
"YP_003044409.1","chaA","ECB_01194","b1216",126997,127107,110,"pdhR-aceEF-lpd"
"YP_003044410.1","chaB","ECB_01195","b1217",127134,127157,23,"pdhR-aceEF-lpd"
"YP_003044411.1","chaC","ECB_01196","b1218",127170,127242,72,"pdhR-aceEF-lpd"
"YP_003044412.1","ychN","ECB_01197","b1219",127246,127282,36,"pdhR-aceEF-lpd"
"YP_003044413.1","ychP","ECB_01198","b1220",0,0,0,"no_op"
"YP_003044414.1","narL","ECB_01199","b1221",127440,127505,65,"pdhR-aceEF-lpd"
"YP_003044415.1","narX","ECB_01200","b1222",127504,127684,180,"pdhR-aceEF-lpd"
"YP_003044416.1","narK","ECB_01201","b1223",127718,127857,139,"pdhR-aceEF-lpd"
"YP_003044417.1","narG","ECB_01202","b1224",127908,128283,375,"pdhR-aceEF-lpd"
"YP_003044418.1","narH","ECB_01203","b1225",128282,128436,154,"pdhR-aceEF-lpd"
"YP_003044419.1","narJ","ECB_01204","b1226",128436,128507,71,"pdhR-aceEF-lpd"
"YP_003044420.1","narI","ECB_01205","b1227",128507,128574,67,"pdhR-aceEF-lpd"
"YP_003044421.1","purU","ECB_01208","b1232",128700,128784,84,"pdhR-aceEF-lpd"
"YP_003044422.1","ychJ","ECB_01209","b1233",128789,128835,46,"pdhR-aceEF-lpd"
"YP_003044423.1","ychK","ECB_01210","b1234",0,0,0,"no_op"
"YP_003044424.1","hnr","ECB_01211","b1235",0,0,0,"no_op"
"YP_003044425.1","galU","ECB_01212","b1236",129068,129158,90,"pdhR-aceEF-lpd"
"YP_003044426.1","hns","ECB_01213","b1237",129173,129214,41,"pdhR-aceEF-lpd"
"YP_003044427.1","tdk","ECB_01214","b1238",129275,129336,61,"pdhR-aceEF-lpd"
